epoch,auc,loss
1,0.5801364519181288,1.5407114565372466
2,0.5172971896216861,3.7869468450546266
3,0.5972427416543551,3.566842555999756
4,0.5710230573861655,4.562872004508972
5,0.5808668514798891,3.2288710832595826
6,0.4756146146312312,2.9896947026252745
7,0.5267301339619196,3.535647392272949
8,0.5316727809963314,2.16617511510849
9,0.5469281718430968,2.1182694256305696
10,0.5854982487010507,2.370858037471771
11,0.5477208213675071,2.008041137456894
12,0.5183222390066566,1.0183239966630935
13,0.505320296807822,1.0397466480731965
14,0.572346906591856,2.1675789415836335
15,0.47756511346093194,1.3367613554000854
