epoch,auc,loss
1,0.6685977988413206,0.5742664933204651
2,0.7353795587722647,0.4103053271770477
3,0.4292591424445145,0.5768012285232544
4,0.6994571803256917,0.9301790148019791
5,0.761333643199814,1.2114119410514832
6,0.788756826745904,0.8369228929281235
7,0.8107352135588718,0.4049389138817787
8,0.8460184923889045,0.354065815359354
9,0.8733088760146744,0.24616152569651603
10,0.8451884928869043,0.431357841193676
11,0.8285304028817584,0.35342212617397306
12,0.8052489168506499,0.46728322356939317
13,0.7940190235885859,0.330599257349968
14,0.8589581846250893,0.49527492821216584
15,0.5648727610763433,2.0901995956897736
