iteration,loss
1,0.8207996487617493
2,0.8514102697372437
3,0.8151713609695435
4,0.8248149156570435
5,0.9315992593765259
6,0.7817943692207336
7,0.6816242337226868
8,0.7357138991355896
9,0.6914968490600586
10,0.7202101945877075
11,0.6810569167137146
12,0.7247695326805115
13,0.7092985510826111
14,0.7364375591278076
15,0.718193769454956
16,0.7011942863464355
17,0.6712633371353149
18,0.555336594581604
19,0.7331708073616028
20,0.7719312906265259
21,0.7378116846084595
22,0.6848626136779785
23,0.6566736102104187
24,0.747442364692688
25,0.6870441436767578
26,0.7252102494239807
27,0.7582530379295349
28,0.7007306218147278
29,0.6947298645973206
30,0.6735432744026184
31,0.6244857907295227
32,0.6744920015335083
33,0.6470683813095093
34,0.6571512222290039
35,0.7411583662033081
36,0.6892852783203125
37,0.6949542164802551
38,0.6967282295227051
39,0.6913843154907227
40,0.7042075395584106
41,0.6931881904602051
42,0.6727193593978882
43,0.734428882598877
44,0.6537829041481018
45,0.7209656238555908
46,0.6949110627174377
47,0.6748068332672119
48,0.6942861080169678
49,0.673998236656189
50,0.7008776664733887
51,0.7038744688034058
52,0.7248547673225403
53,0.7079010009765625
54,0.6858872175216675
55,0.6709628701210022
56,0.6685153245925903
57,0.6826679110527039
58,0.6738359928131104
59,0.6805614233016968
60,0.6518758535385132
61,0.7297210097312927
62,0.6782294511795044
63,0.6558456420898438
64,0.7482636570930481
65,0.7041515111923218
66,0.6903805136680603
67,0.6859933733940125
68,0.6993613839149475
69,0.6696728467941284
70,0.6978839635848999
71,0.660061776638031
72,0.7209972739219666
73,0.6766477823257446
74,0.6772615909576416
75,0.6971213817596436
76,0.6805175542831421
77,0.7027684450149536
78,0.6711027026176453
79,0.6891908645629883
80,0.6826689839363098
81,0.6967294216156006
82,0.6961548328399658
83,0.6678606867790222
84,0.6841995716094971
85,0.6937277913093567
86,0.6729350090026855
87,0.6996844410896301
88,0.6754313707351685
89,0.6982133984565735
90,0.6894651651382446
91,0.657570481300354
92,0.6940730214118958
93,0.6878588795661926
94,0.6738231778144836
95,0.6926559805870056
96,0.6631861925125122
97,0.7148941159248352
98,0.6646887063980103
99,0.6698656678199768
100,0.6681960821151733
101,0.7085434198379517
102,0.6438695192337036
103,0.6638886332511902
104,0.7002543807029724
105,0.7257758378982544
106,0.6576321125030518
107,0.6967318058013916
108,0.6746744513511658
109,0.692733883857727
110,0.6780858635902405
111,0.65031498670578
112,0.6689015626907349
113,0.6977248787879944
114,0.6523197889328003
115,0.6622674465179443
116,0.7029935717582703
117,0.7399123311042786
118,0.6199600696563721
119,0.6973795294761658
120,0.6930863857269287
121,0.7352585196495056
122,0.7193712592124939
123,0.6957241296768188
124,0.684184730052948
125,0.6837072968482971
126,0.7117159366607666
127,0.7075311541557312
128,0.6915452480316162
129,0.6995322704315186
130,0.7114439010620117
131,0.6856323480606079
132,0.6800286769866943
133,0.6777986884117126
134,0.6963080763816833
135,0.6706763505935669
136,0.6660053730010986
137,0.6698433756828308
138,0.6650862693786621
139,0.6814993619918823
140,0.675136923789978
141,0.7974690794944763
142,0.7146729826927185
143,0.6724392175674438
144,0.6506470441818237
145,0.6683688163757324
