epoch,auc,loss
1,0.5894282963430222,5.8757065534591675
2,0.6378297173021696,3.3265660762786866
3,0.5569587158247705,8.786452269554138
4,0.6011354393187365,4.636644315719605
5,0.6177893793263723,8.894285225868225
6,0.6149839810096114,5.824968147277832
7,0.5010499493700304,6.470056939125061
8,0.5567180159691905,15.101399898529053
9,0.566615760030544,11.624446392059326
10,0.5449901230059261,7.871949076652527
11,0.516321940206836,7.659738659858704
12,0.525111634933019,4.304354214668274
13,0.5210985873408477,6.073276042938232
14,0.5781195531282681,3.514026641845703
15,0.5408359754984147,6.634021949768067
